W,Size a,Size b,Type,instances,algorithm,alg mode,initial solution,Obj F,opt time [ms],initial sol [ms],iteration [ms],multipliers [ms],red costs [ms],base changes [ms],step 1 [ms],step 2 [ms],base changes,iterations,init sol improvement [%]
28,32,32,LogGRF,10031007,ts,4111,NWC,6597397664,193,4,184,14,46,123,77,45,56872,1010,2.3814
28,32,32,LogGRF,10031008,ts,4111,NWC,5800943878,206,4,198,15,51,130,82,47,65026,1100,2.4628
28,32,32,LogGRF,10031009,ts,4111,NWC,8259967534,203,4,194,14,50,129,85,43,61895,1061,1.5625
28,32,32,LogGRF,10031010,ts,4111,NWC,4608541127,244,4,235,17,55,161,104,56,76451,1212,3.2378
28,32,32,LogGRF,10051002,ts,4111,NWC,10377222264,112,4,103,6,24,72,45,27,37940,453,1.2191
28,32,32,LogGRF,10051004,ts,4111,NWC,9404884288,200,4,191,13,47,129,82,46,61768,1050,1.4836
28,32,32,LogGRF,10051007,ts,4111,NWC,14474713246,138,4,129,9,32,87,55,32,41913,713,0.8499
28,32,32,LogGRF,10051008,ts,4111,NWC,6192225618,105,4,96,6,22,68,42,26,36337,407,2.0593
28,32,32,LogGRF,10061001,ts,4111,NWC,3229519112,163,4,155,11,36,106,68,38,49738,839,4.2023
28,32,32,LogGRF,10061002,ts,4111,NWC,1815590147,141,4,133,9,28,95,58,37,45856,550,6.1301
28,32,32,LogGRF,10061004,ts,4111,NWC,8610066159,242,4,234,16,55,161,106,54,75638,1220,1.8909
28,32,32,LogGRF,10061005,ts,4111,NWC,16409543573,112,4,103,6,25,71,45,26,35300,508,0.6907
28,32,32,LogGRF,10061007,ts,4111,NWC,4607070487,139,4,131,9,30,91,58,33,43233,626,3.2877
28,32,32,LogGRF,10061008,ts,4111,NWC,4177327967,163,4,154,11,34,108,69,39,49712,686,3.0736
28,32,32,LogGRF,10061009,ts,4111,NWC,7047150347,164,4,155,11,38,105,68,36,47939,817,1.6212
28,32,32,LogGRF,10061010,ts,4111,NWC,8063474482,137,4,129,8,30,89,56,32,41896,633,1.3949
28,32,32,LogGRF,10071002,ts,4111,NWC,2676762566,135,4,126,8,28,89,55,33,44258,568,4.6653
28,32,32,LogGRF,10071004,ts,4111,NWC,5871678556,349,4,340,25,84,228,149,78,108752,1867,2.2898
28,32,32,LogGRF,10071008,ts,4111,NWC,3351691604,159,4,150,11,35,104,66,38,48642,728,3.6448
28,32,32,LogGRF,10081002,ts,4111,NWC,1203369810,117,4,108,7,23,77,47,31,38304,445,8.4542
28,32,32,LogGRF,10081004,ts,4111,NWC,2979160606,167,4,159,11,35,112,72,40,53689,733,4.4506
28,32,32,LogGRF,10091002,ts,4111,NWC,8119403846,139,4,131,9,30,91,58,33,43739,614,1.285
28,32,32,LogGRF,10091004,ts,4111,NWC,12879358992,158,4,150,10,34,105,70,34,51124,738,1.0223
28,32,32,LogGRF,10091005,ts,4111,NWC,10517415150,132,4,123,9,32,81,50,30,43404,675,1.1246
28,32,32,LogGRF,10091007,ts,4111,NWC,16324292722,161,4,153,11,38,103,68,34,47882,896,0.6431
28,32,32,LogGRF,10091008,ts,4111,NWC,8015762412,108,5,100,7,23,69,44,25,34027,502,1.2237
28,32,32,LogGRF,10101002,ts,4111,NWC,3990752541,113,4,105,7,25,72,44,28,36030,493,2.9618
28,32,32,LogGRF,10101004,ts,4111,NWC,4158961923,190,4,181,13,43,123,78,45,58372,947,3.5074
28,32,32,LogGRF,10101005,ts,4111,NWC,2567696637,121,4,113,8,27,77,47,29,37916,552,4.8078
28,32,32,LogGRF,10101007,ts,4111,NWC,7671692129,181,4,172,12,41,118,76,42,52646,917,1.892
28,32,32,LogGRF,10101008,ts,4111,NWC,2385191327,99,4,90,5,20,65,40,24,34416,364,4.9592
28,32,32,LogGRF,10101009,ts,4111,NWC,6675200023,129,4,120,9,30,80,51,29,41170,638,1.6573
28,32,32,LogitGRF,10011002,ts,4111,NWC,1734786131,164,5,155,11,35,108,67,40,49208,770,8.6654
28,32,32,LogitGRF,10011004,ts,4111,NWC,1099587926,160,4,151,11,35,104,64,39,48139,769,15.078
28,32,32,LogitGRF,10011005,ts,4111,NWC,669189205,123,5,114,7,24,82,49,32,41418,490,28.1517
28,32,32,LogitGRF,10011007,ts,4111,NWC,1459837111,147,4,139,9,30,99,59,39,49444,619,11.7537
28,32,32,LogitGRF,10011008,ts,4111,NWC,585110612,155,5,146,9,31,105,63,41,51688,624,31.4866
28,32,32,LogitGRF,10011009,ts,4111,NWC,3305342258,123,4,114,8,27,79,50,28,37729,547,4.9143
28,32,32,LogitGRF,10011010,ts,4111,NWC,1528658852,142,5,133,9,29,95,58,36,48090,586,11.742
28,32,32,LogitGRF,10021004,ts,4111,NWC,814646253,144,5,136,9,29,98,61,36,43452,572,20.8897
28,32,32,LogitGRF,10031001,ts,4111,NWC,1541589601,148,4,140,9,30,99,62,36,44557,643,10.8621
28,32,32,LogitGRF,10031002,ts,4111,NWC,2276718360,196,4,187,13,42,131,83,48,57408,915,6.5877
28,32,32,LogitGRF,10031004,ts,4111,NWC,2375471039,241,4,233,19,57,155,99,56,64717,1358,6.8762
28,32,32,LogitGRF,10031005,ts,4111,NWC,956947752,113,4,104,6,22,75,45,29,37794,429,16.5624
28,32,32,LogitGRF,10031006,ts,4111,NWC,1400098481,203,4,195,14,43,136,86,50,62673,983,11.7116
28,32,32,LogitGRF,10031007,ts,4111,NWC,1128095288,168,5,160,12,37,109,67,41,48362,847,13.9009
28,32,32,LogitGRF,10031008,ts,4111,NWC,2269511669,161,5,152,11,34,105,66,39,46143,777,6.3408
28,32,32,LogitGRF,10031009,ts,4111,NWC,1151562337,120,5,111,7,24,78,49,29,39100,480,13.0732
28,32,32,LogitGRF,10031010,ts,4111,NWC,1165578561,166,5,157,11,35,110,68,41,51532,751,12.0123
28,32,32,LogitGRF,10051002,ts,4111,NWC,1488019704,178,5,170,14,39,116,72,43,54661,867,12.6982
28,32,32,LogitGRF,10051004,ts,4111,NWC,1281138037,169,5,160,12,37,109,68,41,49316,848,13.6318
28,32,32,LogitGRF,10051007,ts,4111,NWC,1658562170,133,4,125,9,27,88,54,33,41132,590,8.8074
28,32,32,LogitGRF,10051008,ts,4111,NWC,1114201435,163,4,155,10,34,110,67,42,54303,709,18.4736
28,32,32,LogitGRF,10061001,ts,4111,NWC,771856370,170,4,161,10,32,118,72,46,58949,619,25.2676
28,32,32,LogitGRF,10061002,ts,4111,NWC,1458165119,156,5,147,10,31,106,67,39,49324,651,11.6749
28,32,32,LogitGRF,10061004,ts,4111,NWC,1362585730,131,4,123,8,26,88,53,34,45146,515,11.4258
28,32,32,LogitGRF,10061005,ts,4111,NWC,917695103,151,4,142,10,30,101,62,39,50332,658,17.6288
28,32,32,LogitGRF,10061007,ts,4111,NWC,1033728317,157,5,148,10,32,106,65,40,51915,643,16.1601
28,32,32,LogitGRF,10061008,ts,4111,NWC,1041451750,134,5,125,8,26,90,54,36,46370,505,15.828
28,32,32,LogitGRF,10061009,ts,4111,NWC,2841771926,204,5,195,14,46,133,85,48,60477,1050,6.1456
28,32,32,LogitGRF,10061010,ts,4111,NWC,1130739680,145,5,136,10,31,94,58,36,44227,718,12.2188
28,32,32,LogitGRF,10071002,ts,4111,NWC,3031423402,163,5,154,11,35,107,67,40,49453,759,5.1585
28,32,32,LogitGRF,10071004,ts,4111,NWC,2769335017,141,5,132,9,31,91,56,34,45120,638,6.5545
28,32,32,LogitGRF,10071008,ts,4111,NWC,2399560381,122,4,114,8,26,79,47,31,37967,575,5.5494
28,32,32,LogitGRF,10081002,ts,4111,NWC,1995448687,192,4,184,13,43,126,79,47,58455,946,8.717
28,32,32,LogitGRF,10081004,ts,4111,NWC,1228374494,201,5,192,15,45,131,83,48,57112,1067,14.5086
28,32,32,LogitGRF,10091002,ts,4111,NWC,2394452805,192,5,183,13,41,127,81,46,58454,908,7.2053
28,32,32,LogitGRF,10091004,ts,4111,NWC,3237239400,178,5,169,13,42,111,71,39,47695,992,5.4474
28,32,32,LogitGRF,10091005,ts,4111,NWC,2067002647,100,5,91,6,21,63,39,24,31917,417,7.597
28,32,32,LogitGRF,10091007,ts,4111,NWC,3199824953,149,5,140,12,34,93,58,34,42365,760,4.6236
28,32,32,LogitGRF,10091008,ts,4111,NWC,4231362120,132,5,123,8,27,88,55,33,44485,536,4.2195
28,32,32,LogitGRF,10101002,ts,4111,NWC,1155488377,159,5,150,10,32,108,67,41,52645,651,15.3128
28,32,32,LogitGRF,10101004,ts,4111,NWC,1579418934,161,4,153,11,34,107,66,40,49391,758,9.3737
28,32,32,LogitGRF,10101005,ts,4111,NWC,1317770009,177,5,140,10,31,98,61,37,47726,684,12.7614
28,32,32,LogitGRF,10101007,ts,4111,NWC,1949831135,146,4,137,9,30,97,58,38,49081,644,7.6794
28,32,32,LogitGRF,10101008,ts,4111,NWC,2038417282,132,5,123,8,28,87,53,34,43969,561,7.6807
28,32,32,LogitGRF,10101009,ts,4111,NWC,1331916570,190,4,181,14,44,121,76,45,54026,1023,9
28,32,32,MicroscopyImages,10011002,ts,4111,NWC,1113439145,97,2,93,4,47,41,25,16,21201,316,9.3011
28,32,32,MicroscopyImages,10011004,ts,4111,NWC,4375274325,113,2,108,5,53,50,31,19,25511,446,2.1772
28,32,32,MicroscopyImages,10011005,ts,4111,NWC,6404851276,222,2,218,7,131,78,48,29,41195,693,1.8314
28,32,32,MicroscopyImages,10011007,ts,4111,NWC,5636671272,170,2,166,5,105,55,34,20,28075,543,1.8268
28,32,32,MicroscopyImages,10011008,ts,4111,NWC,6309242060,136,3,131,7,49,73,46,27,37776,612,1.8957
28,32,32,MicroscopyImages,10011009,ts,4111,NWC,4895665785,215,2,211,6,137,67,42,25,33315,610,2.2875
28,32,32,MicroscopyImages,10011010,ts,4111,NWC,2975148890,119,3,114,7,35,71,44,27,36557,570,3.9803
28,32,32,MicroscopyImages,10021004,ts,4111,NWC,5615986990,123,3,116,4,57,54,34,20,26317,330,1.8131
28,32,32,MicroscopyImages,10031001,ts,4111,NWC,9127985268,161,2,157,4,110,42,26,16,21136,412,0.9534
28,32,32,MicroscopyImages,10031002,ts,4111,NWC,10368915611,137,2,133,6,71,56,34,21,25676,538,0.9407
28,32,32,MicroscopyImages,10031004,ts,4111,NWC,1458056103,100,3,95,4,47,44,27,17,21224,392,6.771
28,32,32,MicroscopyImages,10031005,ts,4111,NWC,4076134672,153,2,149,6,90,53,32,20,26684,452,2.9
28,32,32,MicroscopyImages,10031006,ts,4111,NWC,2499003470,102,3,97,6,28,61,38,23,30447,521,4.4257
28,32,32,MicroscopyImages,10031007,ts,4111,NWC,4912835614,135,2,131,4,76,50,30,20,25727,396,2.3488
28,32,32,MicroscopyImages,10031008,ts,4111,NWC,4441900634,102,3,97,5,35,56,34,22,27997,412,2.8444
28,32,32,MicroscopyImages,10031009,ts,4111,NWC,4820437077,104,2,100,3,63,34,20,13,18612,273,2.1915
28,32,32,MicroscopyImages,10031010,ts,4111,NWC,5286615562,72,3,66,3,20,42,25,17,22955,286,2.2178
28,32,32,MicroscopyImages,10051002,ts,4111,NWC,5055032825,247,3,241,10,128,102,63,39,51266,749,2.6378
28,32,32,MicroscopyImages,10051004,ts,4111,NWC,3326211681,208,3,202,9,98,94,59,35,45801,659,4.167
28,32,32,MicroscopyImages,10051007,ts,4111,NWC,2956463676,200,3,195,6,125,62,39,23,29614,554,4.5454
28,32,32,MicroscopyImages,10051008,ts,4111,NWC,2929547244,167,3,160,9,66,85,52,32,41232,613,5.4417
28,32,32,MicroscopyImages,10061001,ts,4111,NWC,7407039052,145,3,140,8,40,91,55,35,45872,682,1.5347
28,32,32,MicroscopyImages,10061002,ts,4111,NWC,6640787263,202,4,196,12,61,120,73,46,59521,929,2.1233
28,32,32,MicroscopyImages,10061004,ts,4111,NWC,2486900891,183,4,176,11,50,115,71,43,54987,710,4.8959
28,32,32,MicroscopyImages,10061005,ts,4111,NWC,465637718,87,3,81,4,24,52,31,21,26584,329,26.7614
28,32,32,MicroscopyImages,10061007,ts,4111,NWC,3007911002,137,3,131,10,42,79,48,30,36069,670,4.1241
28,32,32,MicroscopyImages,10061008,ts,4111,NWC,2863284268,185,4,178,11,56,109,67,41,50008,788,5.2582
28,32,32,MicroscopyImages,10061009,ts,4111,NWC,2587922603,129,3,123,8,37,77,47,30,40383,628,5.4626
28,32,32,MicroscopyImages,10061010,ts,4111,NWC,2708490782,201,4,193,13,64,115,70,44,53979,898,5.1344
28,32,32,MicroscopyImages,10071002,ts,4111,NWC,5341166391,174,3,169,7,93,67,42,25,33280,580,2.5515
28,32,32,MicroscopyImages,10071004,ts,4111,NWC,3067474949,153,3,147,6,71,69,43,26,33273,498,4.156
28,32,32,MicroscopyImages,10071008,ts,4111,NWC,337039790,76,3,70,3,25,42,25,17,22498,196,41.1436
28,32,32,MicroscopyImages,10081002,ts,4111,NWC,5876045361,191,3,184,10,78,95,59,36,44407,727,2.3847
28,32,32,MicroscopyImages,10081004,ts,4111,NWC,3049428353,178,4,171,9,71,90,57,33,39537,667,3.7752
28,32,32,MicroscopyImages,10091002,ts,4111,NWC,3985490722,222,3,217,9,121,85,53,32,36830,809,3.0267
28,32,32,MicroscopyImages,10091004,ts,4111,NWC,3530608744,163,3,158,8,81,68,42,25,32268,648,3.3184
28,32,32,MicroscopyImages,10091005,ts,4111,NWC,2288966075,171,3,166,5,100,60,37,23,32190,448,5.9551
28,32,32,MicroscopyImages,10091007,ts,4111,NWC,5735521479,218,2,213,7,129,76,46,29,39284,618,2.5366
28,32,32,MicroscopyImages,10091008,ts,4111,NWC,5551601535,156,3,150,8,59,82,50,31,42474,631,2.7303
28,32,32,MicroscopyImages,10101002,ts,4111,NWC,2151446473,136,4,129,8,44,76,47,29,34621,566,5.5894
28,32,32,MicroscopyImages,10101004,ts,4111,NWC,2773701599,153,4,146,9,51,85,53,32,39896,655,5.0251
28,32,32,MicroscopyImages,10101005,ts,4111,NWC,2198895408,154,3,148,9,50,87,54,33,41899,721,5.7651
28,32,32,MicroscopyImages,10101007,ts,4111,NWC,4667825704,108,3,102,6,32,65,40,25,35107,434,2.9187
28,32,32,MicroscopyImages,10101008,ts,4111,NWC,4745611100,146,4,139,8,47,83,51,32,41934,552,3.2487
28,32,32,MicroscopyImages,10101009,ts,4111,NWC,869092881,110,3,105,6,36,62,37,24,30121,527,16.0115
28,32,32,Shapes,10011002,ts,4111,NWC,2498560000,39,2,35,2,9,24,14,10,15567,253,4.2517
28,32,32,Shapes,10011004,ts,4111,NWC,1380876504,59,2,54,2,12,40,23,17,23428,265,9.292
28,32,32,Shapes,10011005,ts,4111,NWC,974472630,78,2,74,4,20,48,28,20,28326,606,15.5907
28,32,32,Shapes,10011007,ts,4111,NWC,2856691337,65,3,60,3,15,42,24,18,23758,357,5.3056
28,32,32,Shapes,10011008,ts,4111,NWC,1677590960,48,2,44,2,11,30,18,12,21257,368,8.2429
28,32,32,Shapes,10011009,ts,4111,NWC,778000000,58,2,54,3,10,40,23,17,25047,301,4.6596
28,32,32,Shapes,10011010,ts,4111,NWC,341166340,43,2,38,2,9,27,15,12,15912,217,46.9164
28,32,32,Shapes,10021004,ts,4111,NWC,352115986,32,1,29,1,7,20,11,9,12624,277,18.7584
28,32,32,Shapes,10031001,ts,4111,NWC,136000000,17,2,13,1,3,9,5,4,4862,101,3.1412
28,32,32,Shapes,10031002,ts,4111,NWC,2560096000,28,1,26,1,12,13,7,6,9155,146,3.9688
28,32,32,Shapes,10031004,ts,4111,NWC,1453457196,32,1,29,1,7,21,11,9,13686,207,8.6889
28,32,32,Shapes,10031005,ts,4111,NWC,1050860320,43,1,41,2,13,25,13,12,15813,279,14.2305
28,32,32,Shapes,10031006,ts,4111,NWC,4951600000,30,1,27,1,6,20,11,8,13474,192,2.071
28,32,32,Shapes,10031007,ts,4111,NWC,2931901317,38,2,35,2,9,24,13,10,14859,247,5.1905
28,32,32,Shapes,10031008,ts,4111,NWC,1735402504,32,1,30,1,14,15,9,7,11520,168,7.8414
28,32,32,Shapes,10031009,ts,4111,NWC,834400000,30,1,28,1,9,17,10,8,11425,188,3.6942
28,32,32,Shapes,10031010,ts,4111,NWC,432434912,28,1,26,1,10,15,8,7,9802,122,36.2465
28,32,32,Shapes,10051002,ts,4111,NWC,3227151522,26,1,24,1,7,15,8,7,10590,157,2.5361
28,32,32,Shapes,10051004,ts,4111,NWC,1851552136,48,2,45,3,12,30,16,13,16811,448,5.9413
28,32,32,Shapes,10051007,ts,4111,NWC,3381665761,47,2,44,2,11,31,17,14,20065,295,4.6693
28,32,32,Shapes,10051008,ts,4111,NWC,1545470204,29,1,27,1,8,17,9,8,12010,210,8.4861
28,32,32,Shapes,10061001,ts,4111,NWC,4886800000,55,2,51,2,10,38,23,15,23696,259,2.0895
28,32,32,Shapes,10061002,ts,4111,NWC,3891264000,35,1,33,2,8,23,13,10,14571,303,2.041
28,32,32,Shapes,10061004,ts,4111,NWC,3595726992,46,1,43,2,10,30,17,13,18644,317,2.7702
28,32,32,Shapes,10061005,ts,4111,NWC,5472922118,41,1,38,1,12,24,14,10,14890,244,2.1063
28,32,32,Shapes,10061007,ts,4111,NWC,10775897657,49,2,46,2,12,31,18,13,18564,335,0.8372
28,32,32,Shapes,10061008,ts,4111,NWC,3906389576,30,1,28,1,7,19,11,8,13080,293,2.4868
28,32,32,Shapes,10061009,ts,4111,NWC,5411200000,48,1,46,2,15,29,16,12,18008,276,1.8641
28,32,32,Shapes,10061010,ts,4111,NWC,5777420840,54,1,51,2,20,29,17,12,18381,273,2.2473
28,32,32,Shapes,10071002,ts,4111,NWC,2589584123,47,1,45,2,11,31,18,13,19345,343,4.3833
28,32,32,Shapes,10071004,ts,4111,NWC,2040807815,64,2,61,3,14,44,25,19,26894,359,6.5511
28,32,32,Shapes,10071008,ts,4111,NWC,2346634519,41,1,38,2,11,25,14,11,16097,410,5.509
28,32,32,Shapes,10081002,ts,4111,NWC,629300580,19,1,17,1,4,12,7,5,8330,193,9.3204
28,32,32,Shapes,10081004,ts,4111,NWC,340140112,26,1,24,1,5,17,10,7,10648,206,19.3387
28,32,32,Shapes,10091002,ts,4111,NWC,2960160000,32,1,30,1,10,19,11,8,12669,237,3.2831
28,32,32,Shapes,10091004,ts,4111,NWC,1957490118,40,1,37,2,9,26,15,11,16691,250,5.9971
28,32,32,Shapes,10091005,ts,4111,NWC,1745648268,50,1,47,2,15,30,16,13,19642,295,7.7628
28,32,32,Shapes,10091007,ts,4111,NWC,3487215639,48,2,45,2,11,31,17,14,20012,296,4.1856
28,32,32,Shapes,10091008,ts,4111,NWC,2278436924,32,1,30,1,11,17,10,7,12451,243,5.441
28,32,32,Shapes,10101002,ts,4111,NWC,3509690032,28,1,26,1,10,15,8,6,10070,152,2.3224
28,32,32,Shapes,10101004,ts,4111,NWC,2250417600,40,2,36,2,8,26,15,12,16040,245,4.7501
28,32,32,Shapes,10101005,ts,4111,NWC,1263731228,57,1,54,2,23,28,15,12,16321,378,10.69
28,32,32,Shapes,10101007,ts,4111,NWC,3639101183,58,2,55,3,14,38,21,17,23586,401,5.2754
28,32,32,Shapes,10101008,ts,4111,NWC,2543288816,38,1,35,1,14,20,11,9,13548,266,4.9312
28,32,32,Shapes,10101009,ts,4111,NWC,930355024,49,1,46,2,18,26,15,11,16475,264,16.8834
28,32,32,WhiteNoise,10011002,ts,4111,NWC,72631474,98,4,90,6,19,65,40,25,31236,352,208.0193
28,32,32,WhiteNoise,10011004,ts,4111,NWC,98469247,88,4,80,6,17,56,34,22,26053,357,106.795
28,32,32,WhiteNoise,10011005,ts,4111,NWC,80924888,101,4,93,6,19,67,40,27,31522,385,161.0708
28,32,32,WhiteNoise,10011007,ts,4111,NWC,73705465,116,4,108,6,23,79,47,31,40148,390,250.4263
28,32,32,WhiteNoise,10011008,ts,4111,NWC,71791015,106,4,98,6,20,71,43,28,33793,379,202.5655
28,32,32,WhiteNoise,10011009,ts,4111,NWC,94176366,82,4,74,6,17,51,31,20,21972,377,94.3996
28,32,32,WhiteNoise,10011010,ts,4111,NWC,78316204,67,4,59,5,14,40,24,15,16736,331,103.0116
28,32,32,WhiteNoise,10021004,ts,4111,NWC,95227651,115,4,107,8,24,74,45,29,34573,496,150.7021
28,32,32,WhiteNoise,10031001,ts,4111,NWC,77475839,83,4,75,4,16,54,32,22,27131,271,165.8151
28,32,32,WhiteNoise,10031002,ts,4111,NWC,79716769,90,4,82,5,17,59,36,23,28259,328,177.7329
28,32,32,WhiteNoise,10031004,ts,4111,NWC,99770800,90,4,82,5,17,60,36,24,29628,288,133.0116
28,32,32,WhiteNoise,10031005,ts,4111,NWC,82048023,103,4,94,6,19,69,42,27,33914,324,185.0849
28,32,32,WhiteNoise,10031006,ts,4111,NWC,66730834,96,4,88,5,17,65,40,25,29606,312,199.223
28,32,32,WhiteNoise,10031007,ts,4111,NWC,81831112,130,4,121,8,26,87,53,34,42053,494,217.9341
28,32,32,WhiteNoise,10031008,ts,4111,NWC,86971808,100,4,92,6,19,67,40,26,32685,353,168.6573
28,32,32,WhiteNoise,10031009,ts,4111,NWC,84280449,80,4,72,5,15,51,31,20,23409,300,133.4108
28,32,32,WhiteNoise,10031010,ts,4111,NWC,70089433,87,4,79,5,17,57,34,23,29574,297,217.0679
28,32,32,WhiteNoise,10051002,ts,4111,NWC,76939238,82,4,73,5,15,53,32,21,25498,297,161.5917
28,32,32,WhiteNoise,10051004,ts,4111,NWC,77180629,114,4,106,7,23,75,45,29,36834,454,198.6894
28,32,32,WhiteNoise,10051007,ts,4111,NWC,79855821,112,4,104,7,23,73,44,29,33849,454,173.1423
28,32,32,WhiteNoise,10051008,ts,4111,NWC,83570883,99,4,91,6,19,65,39,26,33588,360,185.4031
28,32,32,WhiteNoise,10061001,ts,4111,NWC,66044153,76,4,68,4,15,48,29,19,22876,290,155.1058
28,32,32,WhiteNoise,10061002,ts,4111,NWC,76607451,104,4,96,6,20,70,42,28,35387,342,206.3559
28,32,32,WhiteNoise,10061004,ts,4111,NWC,83850164,65,4,57,4,13,40,24,16,19057,267,105.2347
28,32,32,WhiteNoise,10061005,ts,4111,NWC,73267053,114,4,105,7,22,76,46,30,36274,418,215.3427
28,32,32,WhiteNoise,10061007,ts,4111,NWC,82416958,142,4,134,7,25,100,59,41,45116,457,228.5104
28,32,32,WhiteNoise,10061008,ts,4111,NWC,74716462,110,4,102,6,21,75,45,30,38041,356,215.2285
28,32,32,WhiteNoise,10061009,ts,4111,NWC,87470769,105,4,96,6,20,70,42,28,34015,380,156.9068
28,32,32,WhiteNoise,10061010,ts,4111,NWC,71464641,94,4,86,6,19,61,37,24,28358,367,163.6541
28,32,32,WhiteNoise,10071002,ts,4111,NWC,77529055,119,4,111,7,23,81,49,32,39528,421,218.2856
28,32,32,WhiteNoise,10071004,ts,4111,NWC,124288292,127,4,119,8,25,85,52,33,40537,510,127.6605
28,32,32,WhiteNoise,10071008,ts,4111,NWC,77792116,102,4,94,6,19,68,41,27,33612,342,198.9259
28,32,32,WhiteNoise,10081002,ts,4111,NWC,68138269,97,4,88,5,18,64,39,26,31580,332,212.6778
28,32,32,WhiteNoise,10081004,ts,4111,NWC,97534768,119,4,111,7,23,80,48,32,40101,399,172.505
28,32,32,WhiteNoise,10091002,ts,4111,NWC,79764058,84,4,76,5,17,53,32,21,25019,344,146.8145
28,32,32,WhiteNoise,10091004,ts,4111,NWC,83115435,103,4,95,6,21,67,41,26,32047,395,164.3244
28,32,32,WhiteNoise,10091005,ts,4111,NWC,76746646,85,4,77,5,16,56,34,22,27174,278,161.0699
28,32,32,WhiteNoise,10091007,ts,4111,NWC,100452347,116,4,108,6,22,79,48,31,38690,389,165.8174
28,32,32,WhiteNoise,10091008,ts,4111,NWC,91426453,103,4,95,6,20,68,41,26,31614,408,148.8994
28,32,32,WhiteNoise,10101002,ts,4111,NWC,83020178,100,4,92,6,20,65,39,25,30261,410,171.8576
28,32,32,WhiteNoise,10101004,ts,4111,NWC,119068103,102,4,94,6,20,67,40,26,31747,411,110.6737
28,32,32,WhiteNoise,10101005,ts,4111,NWC,88253438,98,4,89,6,19,64,39,25,29694,389,154.4043
28,32,32,WhiteNoise,10101007,ts,4111,NWC,81917349,139,4,131,9,28,94,56,37,44684,550,224.3839
28,32,32,WhiteNoise,10101008,ts,4111,NWC,85910655,105,4,97,6,20,70,42,27,31992,388,147.383
28,32,32,WhiteNoise,10101009,ts,4111,NWC,95253472,73,4,65,4,14,47,28,18,22006,255,110.4508
28,64,64,CauchyDensity,10011002,ts,4111,NWC,144304310665,1442,42,1362,88,388,884,624,259,363020,1493,0.6658
28,64,64,CauchyDensity,10011004,ts,4111,NWC,65575610400,3179,42,3099,219,918,1956,1356,597,789533,3629,4.2443
28,64,64,CauchyDensity,10011005,ts,4111,NWC,72157399142,1454,42,1374,89,371,911,649,262,335361,1488,2.3215
28,64,64,CauchyDensity,10011006,ts,4111,NWC,129576229366,2474,43,2394,161,667,1561,1127,432,576650,2742,1.5285
28,64,64,CauchyDensity,10011007,ts,4111,NWC,56024485389,2026,43,1945,136,551,1254,889,363,483206,2298,3.6413
28,64,64,CauchyDensity,10011008,ts,4111,NWC,110773437996,2602,42,2522,168,695,1654,1184,468,630683,2834,2.0458
28,64,64,CauchyDensity,10011009,ts,4111,NWC,83471564505,2542,42,2463,171,713,1573,1107,464,637601,2896,2.7187
28,64,64,CauchyDensity,10011010,ts,4111,NWC,71925648284,2570,43,2490,184,733,1568,1105,461,626995,3128,3.1907
28,64,64,CauchyDensity,10021004,ts,4111,NWC,99779684705,1301,41,1223,87,353,780,568,211,221267,1432,0.9158
28,64,64,CauchyDensity,10021005,ts,4111,NWC,38491248233,1398,42,1318,95,361,859,589,270,269864,1435,2.448
28,64,64,CauchyDensity,10021006,ts,4111,NWC,59571687809,954,42,873,56,240,575,408,166,175202,909,1.3328
28,64,64,CauchyDensity,10021007,ts,4111,NWC,87292819360,1003,41,924,62,268,591,413,178,192040,1020,1.151
28,64,64,CauchyDensity,10021008,ts,4111,NWC,31766180869,1217,42,1137,82,346,707,474,233,251304,1346,2.918
28,64,64,CauchyDensity,10021009,ts,4111,NWC,91272973178,979,42,898,60,266,570,381,189,212076,997,1.026
28,64,64,CauchyDensity,10021010,ts,4111,NWC,105613729341,740,42,659,41,191,426,295,130,152050,678,0.892
28,64,64,CauchyDensity,10031001,ts,4111,NWC,21901458378,1370,42,1290,85,364,837,565,272,310285,1311,8.5735
28,64,64,CauchyDensity,10031002,ts,4111,NWC,121472957977,1576,42,1496,101,425,968,696,271,310789,1643,0.7789
28,64,64,CauchyDensity,10031004,ts,4111,NWC,40017765318,3948,42,3867,276,1018,2566,1809,754,799084,4261,6.0823
28,64,64,CauchyDensity,10031005,ts,4111,NWC,53392841146,1527,42,1447,104,411,929,634,294,292258,1644,3.3777
28,64,64,CauchyDensity,10031006,ts,4111,NWC,95588179542,3189,43,3107,236,877,1987,1404,581,557791,3773,1.9614
28,64,64,CauchyDensity,10031007,ts,4111,NWC,12782169843,2024,43,1943,138,513,1288,876,411,385319,2137,15.8707
28,64,64,CauchyDensity,10031008,ts,4111,NWC,100770903796,3512,42,3432,229,853,2344,1735,606,598316,3657,2.0862
28,64,64,CauchyDensity,10031009,ts,4111,NWC,52414815905,3211,42,3129,238,878,2007,1385,620,624218,3788,4.2558
28,64,64,CauchyDensity,10031010,ts,4111,NWC,22228627248,2941,42,2861,214,784,1856,1263,591,581921,3330,9.583
28,64,64,CauchyDensity,10041005,ts,4111,NWC,69672501810,3937,42,3856,289,1075,2484,1719,762,768216,4514,3.2158
28,64,64,CauchyDensity,10041006,ts,4111,NWC,35980303100,1927,42,1847,137,512,1194,782,411,348550,2158,4.652
